year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2023,14,Mario,Christian McCaffrey,9,Mario,44,RB,384.8,8.745454545454546
2023,15,Nate,Ja'Marr Chase,1,Bill,42,WR,198.32,4.721904761904762
2023,16,Grossman,Amon-Ra St. Brown,10,Nate,37,WR,239,6.45945945945946
2023,17,Daniel,Travis Kelce,6,Jack,38,TE,153.4,4.036842105263158
2023,18,Brian,Josh Jacobs,9,Mario,29,RB,169.6,5.848275862068966
2023,19,Justin,Derrick Henry,7,Jon,37,RB,229.86,6.212432432432433
2023,20,Bryan,Trevor Lawrence,3,Bryan,37,QB,259.84,7.022702702702702
2023,21,Bryan,A.J. Brown,3,Bryan,33,WR,230.2,6.975757575757576
2023,22,Justin,Tee Higgins,6,Jack,19,WR,113.6,5.978947368421053
2023,23,Brian,Mark Andrews,1,Bill,24,TE,100.9,4.204166666666667
2023,24,Daniel,Cooper Kupp,2,Brian,31,WR,127.4,4.109677419354839
2023,25,Grossman,Stefon Diggs,1,Bill,33,WR,192.1,5.821212121212121
2023,26,Nate,CeeDee Lamb,8,Justin,29,WR,297.2,10.248275862068965
2023,27,Mario,Tua Tagovailoa,3,Bryan,24,QB,274.74,11.4475
2023,28,Jon,DK Metcalf,2,Brian,13,WR,185.9,14.3
2023,29,Bill,Lamar Jackson,10,Nate,49,QB,359.72,7.341224489795919
2023,30,Jack,Daniel Jones,8,Justin,21,QB,63.96,3.045714285714286
